Make,Model,Year,Kilometer,Color,Owner,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Price
Honda,Amaze 1.2 VX i-VTEC,2017,87150,Grey,First,3990.0,1680.0,1505.0,5.0,35.0,505000
Maruti Suzuki,Swift DZire VDI,2014,75000,White,Second,3995.0,1695.0,1555.0,5.0,42.0,450000
Hyundai,i10 Magna 1.2 Kappa2,2011,67000,Maroon,First,3585.0,1595.0,1550.0,5.0,35.0,220000
Toyota,Glanza G,2019,37500,Red,First,3995.0,1745.0,1510.0,5.0,37.0,799000
Toyota,Innova 2.4 VX 7 STR [2016-2020],2018,69000,Grey,First,4735.0,1830.0,1795.0,7.0,55.0,1950000
Maruti Suzuki,Ciaz ZXi,2017,73315,Grey,First,4490.0,1730.0,1485.0,5.0,43.0,675000
BMW,X1 xDrive20d M Sport,2017,75000,White,Second,4439.0,1821.0,1612.0,5.0,51.0,2650000
Skoda,Octavia 1.8 TSI Style Plus AT [2017],2017,56000,White,First,4670.0,1814.0,1476.0,5.0,50.0,1390000
Nissan,Terrano XL (D),2015,85000,White,First,4331.0,1822.0,1671.0,5.0,50.0,575000
Hyundai,Elite i20 Sportz 1.2,2017,20281,Red,First,3985.0,1734.0,1505.0,5.0,45.0,591000
Renault,Kwid 1.0 RXT [2016-2019],2018,22541,Grey,First,3679.0,1579.0,1478.0,5.0,28.0,459999
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],2019,30672,Blue,First,4490.0,1730.0,1485.0,5.0,43.0,1075000
Tata,Harrier XZ [2019-2020],2019,20856,Orange,First,4598.0,1894.0,1706.0,5.0,50.0,1695000
Volkswagen,Polo GT TSI,2017,41417,Grey,First,3971.0,1682.0,1469.0,5.0,45.0,944999
Maruti Suzuki,Celerio ZXi AMT [2019-2020],2016,11471,Red,First,3695.0,1600.0,1560.0,5.0,35.0,569000
Maruti Suzuki,Alto 800 LXi (O),2019,3583,Grey,First,3445.0,1515.0,1475.0,5.0,35.0,449000
Maruti Suzuki,Baleno Alpha Automatic,2018,21365,Grey,First,3995.0,1745.0,1510.0,5.0,37.0,894999
Maruti Suzuki,Wagon R ZXi 1.2 AMT,2020,30777,White,First,3655.0,1620.0,1675.0,5.0,32.0,699000
Hyundai,Creta 1.6 E Petrol,2016,60125,Silver,First,4270.0,1780.0,1630.0,5.0,60.0,740000
Maruti Suzuki,S-Presso VXi AMT,2020,2169,Grey,First,3565.0,1520.0,1564.0,5.0,27.0,470000
Volkswagen,Vento Comfortline Petrol AT,2015,60240,Brown,First,4384.0,1699.0,1466.0,5.0,55.0,765000
Hyundai,Santro Sportz AMT [2018-2020],2018,13772,White,First,3610.0,1645.0,1560.0,5.0,35.0,589000
Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],2019,27464,Blue,First,3995.0,1770.0,1605.0,5.0,45.0,999000
Maruti Suzuki,Alto LXi CNG,2019,47377,Grey,First,3545.0,1490.0,1475.0,4.0,60.0,370000
Maruti Suzuki,Ritz Zxi BS-IV,2013,23086,Grey,First,3775.0,1680.0,1620.0,5.0,43.0,325000
Hyundai,Creta 1.6 SX Plus Petrol,2019,36313,Grey,First,4270.0,1780.0,1630.0,5.0,60.0,1175000
Honda,Brio V MT,2014,39276,Red,First,3610.0,1680.0,1500.0,5.0,35.0,351000
